category,title,chinese_title,publish_date,original_publish_date,source_url,cover_url,summary,chinese_summary
Good Practice Guide,Critical Utilities GMP Compliance – How to Be Compliant and Ready to Prove It,关键公用设施GMP合规性——如何实现合规并随时准备证明,2020-06-01,June 2020,https://guidance-docs.ispe.org/doi/book/10.1002/9781946964298,https://gmp-guidelines.wen817.com/thumbnails/ispe/9781946964298.cover.jpg,"Because of their hidden nature, critical utility systems are vulnerable to non-compliance. With their potential to impact product quality or performance in a significant way, critical utilities consistently receive close scrutiny by regulatory inspectors. The goal of the ISPE Good [...]",由于其隐蔽性，关键公用系统容易出现不合规情况。这些系统可能对产品质量或性能产生重大影响，因此始终受到监管检查员的密切关注。ISPE良好[…]
Good Practice Guide,HVAC and Process Equipment Air Filters,HVAC与工艺设备空气过滤器,2019-12-01,December 2019,https://guidance-docs.ispe.org/doi/book/10.1002/9781946964274,https://gmp-guidelines.wen817.com/thumbnails/ispe/9781946964274.cover.jpg,"The ISPE Good Practice Guide: HVAC and Process Equipment Air Filters aims to be a valuable reference on the selection, application, specification, testing, and operation and maintenance of filters in the pharmaceutical industry. This Guide is intended to be used [...]",ISPE良好实践指南：HVAC与工艺设备空气过滤器，旨在成为制药行业在过滤器选型、应用、规格制定、测试以及运行和维护方面的宝贵参考。本指南供[...]使用
Good Practice Guide,Asset Management,资产管理,2019-11-01,November 2019,https://guidance-docs.ispe.org/doi/book/10.1002/9781946964267,https://gmp-guidelines.wen817.com/thumbnails/ispe/9781946964267.cover.jpg,"The ISPE Good Practice Guide: Asset Management provides practical guidance for establishing an asset management system that enables organizations to realize increased value from their assets, both physical and non-physical. This Guide identifies best practices in strategic asset management as [...]",ISPE良好实践指南：资产管理提供了建立资产管理体系的实用指导，使组织能够从其资产中实现更大价值，包括有形资产和无形资产。本指南明确了战略资产管理中的最佳实践，例如……
Baseline Guide,Volume 4 – Water and Steam Systems (Third Edition),第4卷——水与蒸汽系统（第三版）,2019-09-01,September 2019,https://guidance-docs.ispe.org/doi/book/10.1002/9781946964250,https://gmp-guidelines.wen817.com/thumbnails/ispe/9781946964250.cover.jpg,"The ISPE Baseline Guide® Water and Steam Systems (Third Edition) aims to assist with the design, construction, operation, and lifecycle management of new and existing water and steam systems. It is intended to help meet Good Manufacturing Practices (GMPs) and [...]",ISPE基准指南®《水与蒸汽系统》（第三版）旨在帮助设计、建造、运行以及管理和维护新建和现有水与蒸汽系统。其目的是协助满足GMP，并[...]
Baseline Guide,Volume 5 – Commissioning and Qualification (Second Edition),第5卷——调试与确认（第二版）,2019-06-01,June 2019,https://guidance-docs.ispe.org/doi/book/10.1002/9781946964236,https://gmp-guidelines.wen817.com/thumbnails/ispe/9781946964236.cover.jpg,"The ISPE Baseline® Guide: Commissioning and Qualification (Second Edition) provides practical guidance on the implementation of a science and risk-based approach for the Commissioning and Qualification (C&Q) of pharmaceutical manufacturing facilities, systems, utilities, and equipment to demonstrate that they are [...]",ISPE基准®指南：调试与确认（第二版）提供了关于实施基于科学和风险的方法，对制药生产设施、系统、公用工程和设备进行调试与确认（C&Q），以证明其[...]的实用指导。
GAMP RDI Good Practice Guide,Data Integrity – Manufacturing Records,数据完整性 – 生产记录,2019-05-01,May 2019,https://guidance-docs.ispe.org/doi/book/10.1002/9781946964205,https://gmp-guidelines.wen817.com/thumbnails/ispe/9781946964205.cover.jpg,"Manufacturing systems, with their link to the physical process, have an obvious impact on patient safety and product quality. Careful consideration of data integrity risks, alongside all other risk types, provides a more complete assessment of the GMP risks associated [...]",制造系统与其所关联的物理过程，对患者安全和产品质量有着明显的影响。仔细考虑数据完整性风险，以及所有其他类型的风险，能够更全面地评估与GMP相关的风险……
Good Practice Guide,Practical Implementation of the Lifecycle Approach to Process Validation,翻译失败,2019-03-01,March 2019,https://guidance-docs.ispe.org/doi/book/10.1002/9781946964182,https://gmp-guidelines.wen817.com/thumbnails/ispe/9781946964182.cover.jpg,The shift in process validation from a one-time event to the product lifecycle approach expected by most global markets has led to significant changes in validation practices. The science and risk-based approach combines product development knowledge with a structured process [...],大多数全球市场期望的工艺验证从一次性事件转向产品生命周期方法，这一转变已导致验证实践发生重大变化。基于科学和风险的方法将产品开发知识与结构化的流程相结合……
Good Practice Guide,Technology Transfer (Third Edition),翻译失败,2018-12-01,December 2018,https://guidance-docs.ispe.org/doi/book/10.1002/9781946964151,https://gmp-guidelines.wen817.com/thumbnails/ispe/9781946964151.cover.jpg,Transfer of manufacturing processes and analytical procedures between facilities or laboratories is a necessary part of pharmaceutical development and commercialization. Technology transfers take the outputs of process or method development activities and transfer the knowledge to a different location where [...],翻译失败
Good Practice Guide,Single-Use Technology,一次性技术,2018-11-01,November 2018,https://guidance-docs.ispe.org/doi/book/10.1002/9781946964137,https://gmp-guidelines.wen817.com/thumbnails/ispe/9781946964137.cover.jpg,"Single-use technology has grown in both complexity of design and criticality of application in the past twenty years, offering increased flexibility while significantly reducing the risk of contamination in manufacturing equipment. The implementation of single-use technology into a process requires [...]",翻译失败
GAMP RDI Good Practice Guide,Data Integrity – Key Concepts,数据完整性——关键概念,2018-10-01,October 2018,https://guidance-docs.ispe.org/doi/book/10.1002/9781946964113,https://gmp-guidelines.wen817.com/thumbnails/ispe/9781946964113.cover.jpg,"The ISPE GAMP® RDI Good Practice Guide: Data Integrity – Key Concepts provides detailed practical guidance to support data integrity within a regulated organization.In recent years significant problems with data integrity have been found in the pharmaceutical, biotechnology, and medical [...]",ISPE GAMP® RDI良好实践指南：数据完整性——关键概念，为受监管组织内的数据完整性提供了详细实用的指导。近年来，在制药、生物技术和医疗领域发现了严重的数据完整性问题……
Japan Affiliate,Pest Control Manual [English Translation],病虫害防治手册[英文翻译],2018-08-01,August 2018,https://guidance-docs.ispe.org/doi/book/10.1002/9781946964083,https://gmp-guidelines.wen817.com/thumbnails/ispe/9781946964083.cover.jpg,"The ISPE Japan Affiliate Manual on Pest Control expands on the concepts and policies set forth in the previous ISPE Japan Affiliate Handbook on Pest Control (English Translation, version 4) and offers advice for new and aging GMP facilities. It [...]",ISPE日本分会害虫控制手册扩展了此前ISPE日本分会害虫控制手册（英文译本，第4版）中提出的概念和政策，并为新建及老化的GMP设施提供了建议。它[...]
Baseline Guide,Volume 3 – Sterile Product Manufacturing Facilities (Third Edition),第三卷——无菌产品生产设施（第三版）,2018-04-01,April 2018,https://guidance-docs.ispe.org/doi/book/10.1002/9781946964069,https://gmp-guidelines.wen817.com/thumbnails/ispe/9781946964069.cover.jpg,"Hear from two of the guide contributors, Gordon Leichter, PhD, Belimed Life Sciences and Jason Collins, AIA, IPS, on what you will take-away from purchasing this guide including practical and regulatory guidance, harmonization of standards between the US and EU, [...]",听听两位指南贡献者——贝利迈德生命科学公司的戈登·莱希特博士和美国注册建筑师、国际项目总监杰森·柯林斯——的分享，了解您从购买本指南中将获得哪些收获，包括实用与法规指导，以及美国与欧盟之间标准的协调统一，[...]
GAMP Good Practice Guide,IT Infrastructure Control and Compliance (Second Edition),IT基础设施控制与合规（第二版）,2017-08-01,August 2017,https://guidance-docs.ispe.org/doi/book/10.1002/9781946964007,https://gmp-guidelines.wen817.com/thumbnails/ispe/9781946964007.cover.jpg,"The ISPE GAMP Good Practice Guide: IT Infrastructure Control and Compliance (Second Edition) is intended to provide comprehensive guidance on meeting regulatory expectations for compliant Information Technology (IT) Infrastructure platforms, both traditional and cloud-based. The increasing prevalence of new technology [...]",ISPE GAMP良好实践指南：IT基础设施控制与合规性（第二版）旨在为满足监管机构对传统和基于云的IT基础设施平台合规性的期望提供全面指导。新技术的日益普及[...]
Baseline Guide,Volume 7 – Risk-Based Manufacture of Pharmaceutical Products (Second Edition),第7卷——基于风险的药品生产（第二版）,2017-07-01,July 2017,https://guidance-docs.ispe.org/doi/book/10.1002/9781936379941,https://gmp-guidelines.wen817.com/thumbnails/ispe/9781936379941.cover.jpg,"The ISPE Baseline® Guide: Risk-Based Manufacture of Pharmaceutical Products (Risk-MaPP) Second Edition provides a scientific risk-based approach, based on ICH Q9 Quality Risk Management, for managing the risk of cross-contamination within shared facilities. Risk management processes should be used to [...]",ISPE基准®指南：基于风险的药品生产（Risk-MaPP）第二版提供了一种科学的风险管理方法，该方法以ICH Q9质量风险管理为基础，用于管理共用设施内交叉污染的风险。应采用风险管理流程来[...]
Good Practice Guide,Decommissioning of Pharmaceutical Equipment and Facilities,制药设备与设施的退役,2017-06-01,June 2017,https://guidance-docs.ispe.org/doi/book/10.1002/9781936379996,https://gmp-guidelines.wen817.com/thumbnails/ispe/9781936379996.cover.jpg,"Decommissioning is a general term for a process to remove something from active status. It may be a precursor to putting facilities/equipment into storage, repurposing, or demolition/disposal. There are many factors and requirements to consider in this process, including documentation, [...]",退役是一个通用术语，指将某物从活跃状态中移除的过程。它可能是将设施/设备转入储存、重新利用，或进行拆除/处置的前兆。在此过程中，有许多因素和要求需要考虑，包括文件记录、[...]
未知类型,The Cultural Excellence Report - Six Key Dimensions,文化卓越报告——六大关键维度,2017-04-01,April 2017,https://guidance-docs.ispe.org/doi/book/10.1002/9781946964618,https://gmp-guidelines.wen817.com/thumbnails/ispe/9781946964618.cover.jpg,"The Quality Excellence Report shares insights on quality culture improvement across six key dimensions and outlines a series of practical and powerful approaches, practices, and tools to support implementation of the cultural excellence framework and promote behavioral change that will [...]",质量卓越报告分享了在六个关键维度上提升质量文化方面的见解，并概述了一系列实用且有力的方法、实践和工具，以支持文化卓越框架的实施，推动行为改变，从而……
GAMP Guide,Records and Data Integrity,记录与数据完整性,2017-03-01,March 2017,https://guidance-docs.ispe.org/doi/book/10.1002/9781936379965,https://gmp-guidelines.wen817.com/thumbnails/ispe/9781936379965.cover.jpg,"The ISPE GAMP® Guide: Records and Data Integrity provides principles and practical guidance on meeting current expectations for the management of GxP regulated records and data, ensuring that they are complete, consistent, secure, accurate, and available throughout their life cycle.This [...]",ISPE GAMP®指南：记录与数据完整性，提供了关于满足GxP法规管理记录和数据当前期望的原则和实用指导，确保这些记录和数据在其整个生命周期内保持完整、一致、安全、准确且可访问。这[…]
GAMP Good Practice Guide,Global Information Systems Control and Compliance (Second Edition),全球信息系统控制与合规（第二版）,2017-02-01,February 2017,https://guidance-docs.ispe.org/doi/book/10.1002/9781936379927,https://gmp-guidelines.wen817.com/thumbnails/ispe/9781936379927.cover.jpg,"As organizations find themselves operating from multiple sites worldwide, with groups and departments split between multiple geographies, or even using third party distributors, the challenges of information sharing become more complex. The GAMP® Good Practice Guide: Global Information Systems Control [...]",随着各组织发现自己在全球多个地点运营，团队和部门分散在多个地区，甚至使用第三方分销商，信息共享的挑战变得更加复杂。GAMP®良好实践指南：全球信息系统控制[...]
Good Practice Guide,"Sampling for Pharmaceutical Water, Steam, and Process Gases",药品用水、蒸汽和工艺气体的取样,2016-12-01,December 2016,https://guidance-docs.ispe.org/doi/book/10.1002/9781936379897,https://gmp-guidelines.wen817.com/thumbnails/ispe/9781936379897.cover.jpg,"The ISPE Good Practice Guide on Sampling for Pharmaceutical Water, Steam, and Process Gases was created for users of water, steam, compressed air or process gases and impacts facilities, production, and quality control personnel within a facility. This Good Practice [...]",ISPE关于制药用水、蒸汽和工艺气体取样的良好实践指南，专为使用水、蒸汽、压缩空气或工艺气体的用户而制定，适用于设施内的设备、生产和质量控制人员。本良好实践[...]
Baseline Guide,Volume 2 – Oral Solid Dosage Forms (Third Edition),第二卷——口服固体剂型（第三版）,2016-11-01,November 2016,https://guidance-docs.ispe.org/doi/book/10.1002/9781936379880,https://gmp-guidelines.wen817.com/thumbnails/ispe/9781936379880.cover.jpg,"The new edition of the ISPE Baseline® Guide: Oral Solid Dosage Forms (Third Edition) considers both current and new technologies, such as Process Analytical Technology (PAT) and continuous manufacturing processes. A new chapter has been added to address containment and [...]",新版ISPE基准®指南：口服固体制剂（第三版）同时考虑了当前和新技术，例如过程分析技术（PAT）及连续制造工艺。此外，新增加了一章，以解决密闭操作和[...]
Good Practice Guide,Management of Engineering Standards,工程标准的管理,2016-08-01,August 2016,https://guidance-docs.ispe.org/doi/book/10.1002/9781936379859,https://gmp-guidelines.wen817.com/thumbnails/ispe/9781936379859.cover.jpg,The ISPE Good Practice Guide: Management of Engineering Standards aims to provide a common understanding and approach to the management of Engineering Standards. It is based on industry best practices and developed with input from several peer organizations. The Guide [...],ISPE良好实践指南：工程标准管理旨在提供对工程标准管理的共同理解和方法。它基于行业最佳实践，并在多个同行组织的参与下制定而成。该指南[...]
Good Practice Guide,Operations Management,运营管理,2016-04-01,April 2016,https://guidance-docs.ispe.org/doi/book/10.1002/9781936379835,https://gmp-guidelines.wen817.com/thumbnails/ispe/9781936379835.cover.jpg,"For the purposes of this Guide, operations are defined as the transformative process within a series of activities, along a value chain extending from supplier to customer. Operations Management designs, operates, and improves supply chain systems for getting work done. [...]",在本指南中，运营被定义为从供应商到客户的价值链中一系列活动中所涉及的转化过程。运营管理负责设计、运作和改进供应链系统，以确保工作顺利开展。[...]
Guide,Sustainability,可持续性,2025-08-29,August 2025,https://guidance-docs.ispe.org/doi/book/10.1002/9781946964939,https://gmp-guidelines.wen817.com/thumbnails/ispe/9781946964939.cover_1_20250830_073936.jpg,"The ISPE Sustainability Handbook is written to provide information at the front end of projects that will be useful to the project team in understanding sustainability criteria, with examples where considered useful. It is based on the premise that there [...]",ISPE可持续发展手册旨在为项目前期提供信息，帮助项目团队理解可持续性标准，并在认为有用的情况下提供相关示例。其前提是：
GAMP Good Practice Guide,A Risk-Based Approach to Regulated Mobile Applications,基于风险的监管移动应用方法,2014-10-01,October 2014,https://guidance-docs.ispe.org/doi/book/10.1002/9781936379750,https://gmp-guidelines.wen817.com/thumbnails/ispe/9781936379750.cover.jpg,"More than 3 billion people worldwide use a smartphone and according to industry estimates almost 60% of those users will download a mobile health application. By their very nature mobile devices present a significant challenge to control, and the possibility [...]",全球超过30亿人使用智能手机，据行业估计，其中近60%的用户将下载移动健康应用程序。由于其自身特性，移动设备带来了巨大的管控挑战，而这种可能性[...]
Good Practice Guide,Approaches to Commissioning and Qualification of Pharmaceutical Water and Steam Systems (Second Edition),药品用水和蒸汽系统的调试与确认方法（第二版）,2014-07-01,July 2014,https://guidance-docs.ispe.org/doi/book/10.1002/9781936379736,https://gmp-guidelines.wen817.com/thumbnails/ispe/9781936379736.cover.jpg,"Water and steam may be used in the manufacture of products, cleaning operations, and laboratory activities within pharmaceutical or biopharmaceutical operations. Systems that generate and distribute water and steam that may come into contact with product/or process contact surfaces, or [...]",水和蒸汽可用于制药或生物制药生产中的产品制造、清洁操作以及实验室活动。产生并输送可能与产品或工艺接触面接触的水和蒸汽的系统，或……
Good Practice Guide,Clinical Supply Systems,临床供应系统,2014-03-01,March 2014,https://guidance-docs.ispe.org/doi/book/10.1002/9781936379682,https://gmp-guidelines.wen817.com/thumbnails/ispe/9781936379682.cover.jpg,"Currently there are no standards or guidelines for system functionality that manage Investigational Medicinal Products (IMPs). Lack of standards for data and functionality has resulted in varying terminology, data formats, and controls which can often make the selection, use, or [...]",目前，尚无用于管理试验用药品（IMPs）的系统功能标准或指南。缺乏数据和功能方面的标准，导致术语、数据格式和控制措施各不相同，这往往会使选择、使用或……
Guide,Biopharmaceutical Process Development and Manufacturing,生物制药工艺开发与生产,2013-10-01,October 2013,https://guidance-docs.ispe.org/doi/book/10.1002/9781936379637,https://gmp-guidelines.wen817.com/thumbnails/ispe/9781936379637.cover.jpg,"The ISPE Guide: Biopharmaceutical Process Development and Manufacturing focuses on the development and the process approaches and practices involved in providing cost effective, regulated manufacturing of biopharmaceutical products in a timely manner that meet their intended use.This Guide intends to [...]",ISPE指南：生物制药工艺开发与生产，重点关注生物制药产品的开发，以及为及时、经济高效地实现其预期用途而采用的工艺方法和实践，并确保符合相关法规要求。本指南旨在……
Guide Series,Product Quality Lifecycle Implementation (PQLI ) from Concept to Continual Improvement Part 4 – Process Performance and Product Quality Monitoring System (PP&PQMS),产品质量生命周期实施（PQLI）：从概念到持续改进 第4部分——过程绩效与产品质量监控系统（PP&PQMS）,2013-06-01,June 2013,https://guidance-docs.ispe.org/doi/book/10.1002/9781936379606,https://gmp-guidelines.wen817.com/thumbnails/ispe/9781936379606.cover.jpg,The ISPE PQLI® Guide: Part 4 – Process Performance and Product Quality Monitoring System serves as practical how-to guidance with examples of technical and scientific methodology for adopting a process performance and product quality monitoring system (PP&PQMS) in line with [...],ISPE PQLI®指南：第4部分——过程性能与产品质量监测系统，为采用符合[……]的过程性能和产品质量监测系统（PP&PQMS）提供了实用的操作指南，并附有技术和科学方法的示例。
Good Practice Guide,Booklet Labels,小册子标签,2013-03-01,March 2013,https://guidance-docs.ispe.org/doi/book/10.1002/9781936379583,https://gmp-guidelines.wen817.com/thumbnails/ispe/9781936379583.cover.jpg,"The pharmaceutical industry has been using fan-folded labels or booklet labels for many years, providing greater efficiency in production and reducing the cost of packaging and labeling. The use of booklet labels in clinical trials has become increasingly important in [...]",制药行业多年来一直采用扇形折叠标签或小册子标签，这不仅提高了生产效率，还降低了包装和贴标的成本。在临床试验中，小册子标签的使用正变得越来越重要……
Good Practice Guide,Harmonizing the Definition and Use of Non-Investigational Medicinal Products,统一非研究性药品的定义和使用,2013-01-01,January 2013,https://guidance-docs.ispe.org/doi/book/10.1002/9781936379576,https://gmp-guidelines.wen817.com/thumbnails/ispe/9781936379576.cover.jpg,"Recent survey results show that the pharmaceutical companies often take an overly conservative approach to NIMPs (or Non-IMPs) due to regulatory and operational ambiguity. This can lead to unnecessary expenses and process steps, which can needlessly complicate clinical trials.The ISPE [...]",近期调查结果显示，由于监管和操作上的模糊性，制药公司往往对NIMP（或非IMPs）采取过于保守的做法。这可能导致不必要的开支和流程步骤，从而不必要地增加临床试验的复杂性。ISPE [...]
GAMP Good Practice Guide,A Risk-Based Approach to Testing of GxP Systems (Second Edition),基于风险的GxP体系测试方法（第二版）,2012-12-01,December 2012,https://guidance-docs.ispe.org/doi/book/10.1002/9781936379514,https://gmp-guidelines.wen817.com/thumbnails/ispe/9781936379514.cover.jpg,This Guide helps the reader to maximize testing efficiency without compromising the quality of GxP Systems by focusing testing on areas that have the greatest impact and eliminating duplicate testing. This GAMP Good Practice Guide conforms to GAMP® 5 standards [...],本指南帮助读者在不影响GxP体系质量的前提下，通过将测试重点放在影响最大的领域并消除重复测试，从而最大限度地提高检测效率。本GAMP良好实践指南符合GAMP® 5标准[...]
GAMP Good Practice Guide,A Risk-Based Approach to GxP Compliant Laboratory Computerized Systems (Second Edition),基于风险的方法实现符合GxP规范的实验室计算机化系统（第二版）,2012-10-01,October 2012,https://guidance-docs.ispe.org/doi/book/10.1002/9781936379491,https://gmp-guidelines.wen817.com/thumbnails/ispe/9781936379491.cover.jpg,"Recently updated to conform with GAMP® 5 concepts and terminology, as well as recent regulatory and industry developments, the ISPE GAMP® Good Practice Guide: A Risk-Based Approach to GxP Compliant Laboratory Computerized Systems (Second Edition) contains steps that scientists, suppliers [...]",近日更新，以符合GAMP® 5的概念和术语，以及最新的监管和行业动态。ISPE GAMP®良好实践指南：基于风险的GxP合规实验室计算机化系统方法（第二版）包含了科学家、供应商[...]所采取的步骤。
Good Practice Guide,Quality Laboratory Facilities,质量实验室设施,2012-09-01,September 2012,https://guidance-docs.ispe.org/doi/book/10.1002/9781936379439,https://gmp-guidelines.wen817.com/thumbnails/ispe/9781936379439.cover.jpg,ISPE produced the industry’s first Guidance Document to establish a baseline for the design of Quality Laboratory Facilities. The ISPE Good Practice Guide: Quality Laboratory Facilities is a comprehensive guide to defining design guidelines for Quality Laboratories supporting GxP-regulated facilities [...],ISPE发布了行业首个指导文件，为质量实验室设施的设计设定了基准。ISPE良好实践指南：质量实验室设施是一本全面的指南，旨在明确支持GxP监管设施的质量实验室设计准则……
Good Practice Guide,"Packaging, Labeling, and Warehousing Facilities",包装、标签与仓储设施,2012-06-01,June 2012,https://guidance-docs.ispe.org/doi/book/10.1002/9781936379415,https://gmp-guidelines.wen817.com/thumbnails/ispe/9781936379415.cover.jpg,"The ISPE Good Practice Guide: Packaging, Labeling, and Warehousing Facilities is the industry’s only guidance relating to the design, construction and commissioning and qualification of packaging, labeling and warehousing (PACLAW) facilities. The Guide helps companies meet CGMP requirements for these [...]",ISPE良好实践指南：包装、标签与仓储设施，是业内唯一针对包装、标签及仓储（PACLAW）设施的设计、建造、调试与确认的指导文件。该指南有助于企业满足这些设施的CGMP要求……
Guide Series,Product Quality Lifecycle Implementation (PQLI ) from Concept to Continual Improvement Part 3 – Change Management System as a Key Element of a Pharmaceutical Quality System,产品质量生命周期实施（PQLI）：从概念到持续改进 第三部分——变更管理系统作为药品质量体系的关键要素,2012-06-01,June 2012,https://guidance-docs.ispe.org/doi/book/10.1002/9781936379460,https://gmp-guidelines.wen817.com/thumbnails/ispe/9781936379460.cover.jpg,"The ISPE PQLI Guide: Part 3 – Change Management System as a Key Element of a Pharmaceutical Quality System, is the only change management guide written expressly for the pharmaceutical industry. It provides practical, real-world strategies for implementing the change [...]",ISPE PQLI 指南：第三部分——变更管理系统作为药品质量体系的关键要素，是唯一专门为制药行业编写的变更管理指南。它提供了切实可行的、面向实际应用的策略，用于实施变更[...]
未知类型,Comprehensive Guide to Clinical Materials (A Handbook for Training Clinical Materials Professionals),临床物料综合指南（临床物料专业人员培训手册）,2012-05-01,May 2012,https://guidance-docs.ispe.org/doi/book/10.1002/9781936379552,https://gmp-guidelines.wen817.com/thumbnails/ispe/9781936379552.cover.jpg,"The Guide is designed to provide a valuable tool for the development of in-house training sessions for advanced training, building on the topics covered in the earlier Introductory US Clinical Trial Materials Training Guide. It may be used in a [...]",指南旨在为开展高级培训的内部培训课程提供一种有价值的工具，这些培训将基于早期推出的《美国临床试验材料入门培训指南》中涵盖的主题展开。它可用于[...]
Good Practice Guide,Comparator Management,对照品管理,2012-02-01,February 2012,https://guidance-docs.ispe.org/doi/book/10.1002/9781936379330,https://gmp-guidelines.wen817.com/thumbnails/ispe/9781936379330.cover.jpg,The ISPE Good Practice Guide: Comparator Management is the pharmaceutical industry’s first-ever resource for comparator processes. It has been developed to use as a central reference source that establishes strategic and tactical considerations related to comparator sourcing. It identifies good [...],ISPE良好实践指南：对照品管理是制药行业首个专门针对对照品流程的资源。该指南旨在作为核心参考来源，确立与对照品采购相关的战略和战术考量。它明确了良好的[...]
Good Practice Guide,Interactive Response Technology,互动响应技术,2011-11-01,November 2011,https://guidance-docs.ispe.org/doi/book/10.1002/9781936379279,https://gmp-guidelines.wen817.com/thumbnails/ispe/9781936379279.cover.jpg,Interactive response technology is a tool that can be used to support multiple business processes and this Guide describes how the pharmaceutical industry can apply the technology to support various clinical trial activities.The Guide provides guidance on how to: successfully [...],交互式响应技术是一种可用于支持多种业务流程的工具，本指南介绍了制药行业如何应用该技术来支持各类临床试验活动。指南提供了关于如何成功[...]的指导。
Good Practice Guide,Project Management for the Pharmaceutical Industry,翻译失败,2011-11-01,November 2011,https://guidance-docs.ispe.org/doi/book/10.1002/9781936379255,https://gmp-guidelines.wen817.com/thumbnails/ispe/9781936379255.cover.jpg,The ISPE Good Practice Guide: Project Management for the Pharmaceutical Industry provides good practice approaches which promote the successful integration of GxP with relevant project management activities to ensure that compliance risk is managed effectively and proactively.The Guide discusses the [...],ISPE良好实践指南：制药行业项目管理提供了良好的实践方法，有助于成功地将GxP与相关的项目管理活动相结合，以确保合规风险得到有效且主动的管理。该指南探讨了[...]
Guide Series,Product Quality Lifecycle Implementation (PQLI ) from Concept to Continual Improvement Part 1 – Product Realization using Quality by Design (QbD): Concepts and Principles,翻译失败,2011-11-01,November 2011,https://guidance-docs.ispe.org/doi/book/10.1002/9781936379224,https://gmp-guidelines.wen817.com/thumbnails/ispe/9781936379224.cover.jpg,"Product Realization using QbD: Concepts and Principles (PQLI® Guide Part 1) includes the topics of Criticality, Design Space, and Control Strategy and addresses product and process development, transfer to, and establishment of, commercial manufacture using science- and risk-based approaches.",翻译失败
Guide Series,Product Quality Lifecycle Implementation (PQLI ) from Concept to Continual Improvement Part 2 – Product Realization using Quality by Design (QbD): Illustrative Example,翻译失败,2011-11-01,November 2011,https://guidance-docs.ispe.org/doi/book/10.1002/9781936379231,https://gmp-guidelines.wen817.com/thumbnails/ispe/9781936379231.cover.jpg,Product Realization using QbD: Illustrative Example (PQLI® Guide Part 2) presents the small molecule case study developed by the ISPE PQLI® teams. This case study provides details of the application of the approaches to product and process understanding using quality [...],翻译失败
Good Practice Guide,Cold Chain Management,冷链管理,2011-05-01,May 2011,https://guidance-docs.ispe.org/doi/book/10.1002/9781936379071,https://gmp-guidelines.wen817.com/thumbnails/ispe/9781936379071.cover.jpg,"Increasing volumes of cold products, the complexity of these products, and the complexity of the associated supply chain are causes for concern. Organizations need adequate control over cold chain of pharmaceutical and biopharmaceutical distribution systems. ISPE recognized the need for [...]",冷链产品数量的增加、这些产品的复杂性，以及相关供应链的复杂性，都令人担忧。各组织需要对药品和生物制药配送系统的冷链进行充分控制。ISPE认识到……
GAMP Good Practice Guide,A Risk-Based Approach to GxP Process Control Systems (Second Edition),基于风险的GxP过程控制系统方法（第二版）,2011-02-01,February 2011,https://guidance-docs.ispe.org/doi/book/10.1002/9781936379057,https://gmp-guidelines.wen817.com/thumbnails/ispe/9781936379057.cover.jpg,The GAMP® Good Practice Guide: A Risk-Based Approach to GxP Process Control Systems is a revision of the GAMP® Good Practice Guide: Validation of Process Control Systems. It provides guidance on and examples of the application of the principles and [...],GAMP®良好实践指南：基于风险的过程控制GxP系统方法，是对GAMP®良好实践指南：过程控制系统验证的修订版。它提供了有关原则应用的指导和示例，以及[...]
GAMP Good Practice Guide,A Risk-Based Approach to Calibration Management (Second Edition),基于风险的校准管理方法（第二版）,2010-11-01,November 2010,https://guidance-docs.ispe.org/doi/book/10.1002/9781936379002,https://gmp-guidelines.wen817.com/thumbnails/ispe/9781936379002.cover.jpg,"The GAMP Good Practice Guide: A Risk-Based Approach to Calibration Management (Second Edition) provides guidance in setting up a calibration management system, which will give a structured approach to instrument risk assessment, calibration program management, documentation, and corrective actions, essential [...]",GAMP良好实践指南：基于风险的校准管理方法（第二版）提供了建立校准管理系统的指导，这将为仪器风险评估、校准计划管理、文件记录以及纠正措施提供一种结构化的方法，这些是至关重要的[...]
GAMP Good Practice Guide,A Risk-Based Approach to Operation of GxP Computerized Systems,基于风险的GxP计算机化系统运行方法,2010-05-01,May 2010,https://guidance-docs.ispe.org/doi/book/10.1002/9781931879736,https://gmp-guidelines.wen817.com/thumbnails/ispe/9781931879736.cover.jpg,"During the operational life of a GxP system regulators usually focus on the integrity, consistency, and completeness of controls required to maintain compliance. This Guide highlights the importance of the operation phase of the system lifecycle, when the return on [...]",在GxP系统的运行期间，监管机构通常关注为保持合规性而需实施的控制措施的完整性、一致性和全面性。本指南强调了系统生命周期中运行阶段的重要性，此时……
GAMP Good Practice Guide,Manufacturing Execution Systems – A Strategic and Program Management Approach,制造执行系统——一种战略与项目管理方法,2010-05-01,May 2010,https://guidance-docs.ispe.org/doi/book/10.1002/9781931879934,https://gmp-guidelines.wen817.com/thumbnails/ispe/9781931879934.cover.jpg,The ISPE GAMP® Good Practice Guide: Manufacturing Execution Systems - A Strategic and Program Management Approach uses a complete lifecycle approach to the development and use of MES for regulated manufacturing as a collection or domain of manufacturing related functions [...],ISPE GAMP®良好实践指南：制造执行系统——一种战略与项目管理方法，采用完整的生命周期方法，针对受监管制造中MES的开发和使用，将其视为一系列或一个领域内与制造相关的功能……
