original_publish_date,chinese_title,cover_url,publish_date,source_url,title,category,chinese_summary,summary
Jun 2020,考虑过氧化物氧化敏感性的要点,https://pda.org/images/default-source/product-images/5732-points-to-consider-oxidation.jpeg,2020-06-01,https://www.pda.org/bookstore/product-detail/5732-points-to-consider-oxidation,Points to Consider for Sensitivity to Oxidation by Peroxide,Technical Reports,PDA关于过氧化物氧化敏感性的注意事项，阐述了在设计、开发、加工、仪器仪表、材料和设备等方面需考虑的要点，这些要点特别针对产品暴露于H2O2时易受氧化影响的问题。本文档主要适用于隔离器……,"PDA's Points to Consider for Sensitivity to Oxidation by Peroxide addresses aspects to consider in the design, development, processing, instrumentation, materials, and equipment specific to issues with products sensitive to oxidation when exposed to H2O2. This document primarily applies to isolator …"
Jun 2020,CAPA的根本原因调查：清晰而简单,https://pda.org/images/default-source/product-images/5723-capa.jpeg,2020-06-01,https://www.pda.org/bookstore/product-detail/5723-capa,Root Cause Investigations for CAPA: Clear and Simple,Books,**八月书店促销！五折优惠！标价已反映较原价的折扣。** 本文基于讲师兼作者詹姆斯·维斯珀主持的工作坊，提供了实用工具，帮助读者深入理解基于风险的CAPA调查，并掌握符合监管要求的应用方法。从……,"**August Bookstore Sale! 50% off!Price shown  reflects discount from regular  price.** This text, based on workshops led by instructor and author James Vesper,  provides practical tools for both a thorough understanding of risk-based CAPA  investigations and regulatory acceptable applications.Beginning …"
Jun 2020,隔离器中无菌药品的无菌生产工艺注意事项,https://pda.org/images/default-source/product-images/5699-points-to-consider-isolators.jpeg,2020-06-01,https://www.pda.org/bookstore/product-detail/5699-points-to-consider-isolators,Points to Consider for the Aseptic Processing of Sterile Pharmaceutical Products in Isolators,Technical Reports,本文重点关注无菌工艺中隔离器设计、验证和操作方面的重要法规和技术更新，所提出的《注意事项》涵盖了开放式和封闭式两种主要类型的隔离器，旨在支持现代技术的识别与应用。它并未……,"Focusing on important regulatory and technical updates surrounding isolator design, validation, and operations for aseptic processing, this Points to Consider addresses two primary types of isolators - open and closed - and is intended to support identification and use of modern technology. It does not …"
Apr 2020,软件即服务（SaaS）：基于风险的GMP验证，附带省时模板,https://pda.org/images/default-source/product-images/5627-software-as-a-service.jpeg,2020-04-01,https://www.pda.org/bookstore/product-detail/5627-software-as-a-service,Software as a Service (SaaS): Risk-Based Validation with Time-Saving Templates,Books,通过本书，你将学习一种系统化、循序渐进的方法，用于验证可配置的现成软件，这些软件能够生成有关受法规约束的产品和过程的数据或控制信息。你还将获得作者用作培训工具的模板，以帮助进一步……,"From this book, you will learn a systematic, step-by-step approach for validating configurable off-the-shelf software that generates data or controls information about products and processes subject to regulations. You will also get access to templates the authors have used as training tools for more …"
Apr 2020,ANSI/PDA标准001-2020：加强采购控制，以支持生物制药、制药、医疗器械及组合产品行业,https://pda.org/images/default-source/product-images/5596-ansi-pda-standard-001-2020.jpeg,2020-04-01,https://www.pda.org/bookstore/product-detail/5596-ansi-pda-standard-001-2020,"ANSI/PDA Standard 001-2020: Enhanced Purchasing Controls to Support the Bio-Pharmaceutical, Pharmaceutical, Medical Devices and Combination Products Industries",Standards,**8月书店促销！全场8折！标价已包含常规价格的折扣。**这是一份关于如何选择和管理采购商品及服务供应商的标准指南，这些供应商提供的产品可能会影响产品质量和患者安全。可下载格式：PDF（1个文件，大小703 KB）点击此处查看……,**August Bookstore Sale! 25% off!Price shown  reflects discount from regular  price.**A standard guidance for the selection and control of suppliers of purchased  goods and services that can impact product quality and patient safety. Available to download Format: PDF (1 file 703 KB)Click here to view …
Feb 2020,FDA警告信：分析与指导,https://pda.org/images/default-source/product-images/5536-fda-warning-letters.jpeg,2020-02-01,https://www.pda.org/bookstore/product-detail/5536-fda-warning-letters,FDA Warning Letters: Analysis and Guidance,Books,应对美国FDA发出的警告信的最佳方法是防患于未然。本文将介绍并讨论近期发出的这些警告信，提供分析，并给出指导，帮助读者避免收到此类信件。除了警告信摘要外，文中还对……进行了探讨。,"The best way to handle Warning Letters issued by the U.S. FDA is to prevent them. This text identifies and discusses those Letters recently issued, offers analysis, and provides guidance to help readers avoid receiving such a letter.In addition to the Warning Letter summaries there is discussion of …"
Jan 2020,PDA研究：2019年PDA原包装追溯调查,https://pda.org/images/default-source/product-images/5467-2019-traceability-packaging-survey.jpeg,2020-01-01,https://www.pda.org/bookstore/product-detail/5467-2019-traceability-packaging-survey,PDA Research: 2019 PDA Traceability of Primary Packaging Survey,Surveys,药品供应链中的序列化工作正日益推进，旨在改善当前追踪与溯源流程中存在的不足。此次调查将帮助PDA成员、行业及监管机构了解当前对追踪与溯源的需求状况和相关问题，并获得更深入的洞察……,"Serialization in the pharmaceutical supply chain is a growing effort to improve shortcomings within the current track and trace processes. The survey will help PDA members, industry, and regulators understand the current state of demand and issues surrounding track and trace and attain additional insight …"
Dec 2019,TR编号54-6（TR 54-6）辅料风险评估标准化,https://pda.org/images/default-source/product-images/5411-tr-54-6-formalized-risk-assessment.jpeg,2019-12-01,https://www.pda.org/bookstore/product-detail/5411-tr-54-6-formalized-risk-assessment,TR No. 54-6 (TR 54-6) Formalized Risk Assessment for Excipients,Technical Reports,PDA技术报告第54-6号《辅料风险评估》，是与质量风险管理（QRM）的各个方面相关的TR 54系列中的第六份技术报告。该报告旨在为欧盟委员会要求的辅料风险评估流程提供进一步指导……,"PDA Technical Report No. 54-6, Risk Assessment for Excipients, is the sixth technical report (TR) in the TR 54 series related to various aspects of Quality Risk Management (QRM). It was developed to provide additional guidance on the excipient risk assessment process required by the European Commission …"
Dec 2019,真菌：生命科学制造商与研究人员手册,https://pda.org/images/default-source/product-images/5378-fungi.jpeg,2019-12-01,https://www.pda.org/bookstore/product-detail/5378-fungi,Fungi: A Handbook for Life Science Manufacturers and Researchers,Books,本文有助于识别和改善真菌与霉菌问题，并提供了丰富的信息，可作为指导和参考。文中讨论了许多与食品和农业行业相关的话题，包括真菌的生物学、与药品和医疗产品相关的爆发事件……,"This text can help identify and ameliorate fungal and mold problems and contains a wealth of information as a guide and reference. Many topics are discussed relevant to the food and agriculture industries, including the biology of fungi, outbreaks associated with pharmaceutical drug products and medical …"
Aug 2006,基于风险的软件验证,https://pda.org/images/default-source/product-images/5300-risk-based-software-validation.jpeg,2006-08-01,https://www.pda.org/bookstore/product-detail/5300-risk-based-software-validation,Risk-Based Software Validation,Books,清仓大甩卖，八折优惠！原价：PDA会员225美元，非会员279美元；政府销售价格已标明，结账时将自动体现。基于风险的软件验证：十个简单步骤，提供了一种系统化、分十步进行的方法，从决定是否进行验证到评估……,"Clearance Sale - 20% off! Original Price US$225 PDA Member, US$279 Nonmember, US$180 Government Sale prices are already displayed and will be reflected during checkoutRisk-Based Software Validation: Ten Easy Steps, offers a systematic,    ten-step approach, from the decision to validate to the assessment …"
Oct 2019,PDA研究：2019年无菌冻干药品装填调查,https://pda.org/images/default-source/product-images/5203-2019-sterile-lyophilized-survey.jpeg,2019-10-01,https://www.pda.org/bookstore/product-detail/5203-2019-sterile-lyophilized-survey,PDA Research: 2019 Sterile Lyophilized Drug Product Loading Survey,Surveys,本次调查旨在了解并拓展PDA对生产无菌冻干药品及进行冻干机装载作业的企业的现有实践的洞察。同时，它还提供了有关如何改进当今冻干机装载区域的操作，以减少来自……的污染的见解。,This survey is designed to align and expand PDA's insight on current practices for companies that manufacture sterile lyophilized drug products and conduct lyophilizer loading. It also provides insight into how today's lyophilizer loading area operations can be improved to reduce contamination from …
Sep 2019,良好分销规范：医疗保健制造商与供应商手册，第2卷,https://pda.org/images/default-source/product-images/5147-good-distribution-practice-volume-2.jpeg,2019-09-01,https://www.pda.org/bookstore/product-detail/5147-good-distribution-practice-volume-2,"Good Distribution Practice: A Handbook for Healthcare Manufacturers and Suppliers, Volume 2",Books,在第二卷中，首先介绍良好分销规范（GDP）的相关内容，随后深入探讨与风险评估相关的供应链风险缓解、序列化及包装。本书及其配套的第1卷将有助于降低成本并提高效率。现已上市……,"Following an introduction to the subject of Good Distribution Practice (GDP), in the second volume, dive into supply-chain risk mitigation, serialization, and packaging as it relates to risk assessments. This text and its companion Volume 1 will help drive down costs and improve efficiency.Available …"
Sep 2019,TR第83号（TR 83）生物制品生产中的病毒污染：风险控制、应急准备与应对,https://pda.org/images/default-source/product-images/5139-tr-83-virus-contamination-in-biomanufacturing.jpeg,2019-09-01,https://www.pda.org/bookstore/product-detail/5139-tr-83-virus-contamination-in-biomanufacturing,"TR No. 83 (TR 83) Virus Contamination in Biomanufacturing: Risk Mitigation, Preparedness, and Response",Technical Reports,本技术报告的目的是阐述经过验证的成功原则，以及可用于降低病毒污染风险的措施，并在体外生产工艺中发生此类事件时，提供有效的准备和应对指导……,"The purpose of this technical report is to describe the proven, successful principles used and measures that can be taken to mitigate the risk of contamination by viruses and to provide guidance in effective preparation and response should such an event occur in manufacturing processes using in vitro …"
Aug 2019,PDA研究：2019年技术转移行业调查,https://pda.org/images/default-source/product-images/5123-2019-technology-transfer-industry-survey.jpeg,2019-08-01,https://www.pda.org/bookstore/product-detail/5123-2019-technology-transfer-industry-survey,PDA Research: 2019 Technology Transfer Industry Survey,Surveys,PDA刚刚发布了2019年技术转移行业调查，旨在调研当前的实践情况，并了解企业如何开展技术转移工作，包括其技术转移流程、知识与风险管理体系、文档管理以及业务策略。超过250家……,"PDA has just released the 2019 Technology Transfer Industry Survey,  designed to investigate current practices and learn how companies conduct technology transfers, including their technology transfer processes, knowledge and risk management systems, documentation, and business strategies.More than 250 …"
Aug 2019,生物技术：从创意到市场,https://pda.org/images/default-source/product-images/5107-biotechnology.jpeg,2019-08-01,https://www.pda.org/bookstore/product-detail/5107-biotechnology,Biotechnology: From Idea to Market,Books,PDA最新专业资源《生物技术：从创意到市场》是一本 invaluable 的指南和参考书，适用于所有参与产品开发的人员，从创意生成到商业化推广的各个环节。本书的目标是为学生和专业人士提供这一全面的概述……,"PDA's latest professional resource, Biotechnology: From Idea to Market, is an invaluable guide and reference for anyone involved in the development of a product, from idea generation through commercialization. The goal of this book is to provide this comprehensive overview for students and professionals …"
May 2019,PDA技术报告第13号（修订版）——西班牙语版环境监测计划基础（单用户数字版）,https://pda.org/images/default-source/product-images/5055-tr-13-revisado-spanish-version.jpeg,2019-05-01,https://www.pda.org/bookstore/product-detail/5055-tr-13-revisado-spanish-version,PDA Reporte Tecnico No. 13 (Revisado) Fundamentos de un Programa de Monitoreo Ambiental en Español (versión digital de un solo usuario),Technical Reports,环境监测是无菌保证计划的补充，用于评估无菌药品生产过程中所采用的微生物控制措施的有效性。PDA首次以报告形式发布了关于环境监测的指南……,El monitoreo ambiental es complementario a un programa de aseguramiento de esterilidad y es usado para evaluar la efectividad de controles microbianos utilizados en la fabricación de productos farmacéuticos estériles. PDA publicó por primera vez una guía sobre monitoreo ambiental en forma de Reporte …
Apr 2019,医疗保健制造商的审计与控制：一种基于系统的方法,https://pda.org/images/default-source/product-images/5013-audit-and-control-for-healthcare-manufacturers.jpeg,2019-04-01,https://www.pda.org/bookstore/product-detail/5013-audit-and-control-for-healthcare-manufacturers,Audit and Control for Healthcare Manufacturers: A Systems-Based Approach,Books,审计是质量保证和质量管理体系的重要组成部分。借助PDA最新出版的《医疗保健制造商的审计与控制：基于系统的方法》，您可以确保您的流程、系统和人员的质量与有效性在整个过程中得以保持……,"Audits are an important part of quality assurance and the quality management system. With the help of PDA's newest book, Audit and Control for Healthcare Manufacturers: A Systems-Based Approach, you can ensure the quality and effectiveness of  your processes, systems, and personnel is maintained throughout …"
Mar 2019,PDA技术系列：内毒素分析与风险管理,https://pda.org/images/default-source/product-images/4988-pda-technical-series-endotoxin-analysis-and-risk.jpeg,2019-03-01,https://www.pda.org/bookstore/product-detail/4988-pda-technical-series-endotoxin-analysis-and-risk,PDA Technical Series: Endotoxin Analysis and Risk Management,Books,PDA技术系列：内毒素分析与风险管理，是PDA制药科学与技术期刊上发表的相关研究的汇编。本卷旨在为业内从事……质量检测和生产工作的人员提供参考。,PDA Technical Series: Endotoxin Analysis and Risk Management is a collection of published research on the topic from the PDA Journal of Pharmaceutical Science and Technology. This volume is intended for those in the industry who perform and/or are responsible for the quality testing and manufacture of …
Mar 2019,TR编号82（TR 82）低内毒素回收,https://pda.org/images/default-source/product-images/4894-tr-82-low-endotoxin-recovery.jpeg,2019-03-01,https://www.pda.org/bookstore/product-detail/4894-tr-82-low-endotoxin-recovery,TR No. 82 (TR 82) Low Endotoxin Recovery,Technical Reports,本技术报告旨在描述LER的潜在机制和影响因素，总结LER现象可能带来的临床影响，提出制定LER暂停时间研究设计的指南，并提供缓解LER的策略。可供下载。此前……,"This Technical Report aims to describe the underlying mechanisms and contributing factors of LER, summarize the potential clinical impact of the LER phenomenon, present guidelines for developing LER hold-time study design, and provide strategies for the mitigation of LER. Available to download. Prior …"
Feb 2019,TR第81号（TR 81）细胞疗法质量控制策略,https://pda.org/images/default-source/product-images/4638-tr-81-cell-based-therapy-control-strategy.jpeg,2019-02-01,https://www.pda.org/bookstore/product-detail/4638-tr-81-cell-based-therapy-control-strategy,TR No. 81 (TR 81) Cell-Based Therapy Control Strategy,Technical Reports,本技术报告重点介绍了针对细胞疗法制定的风险导向型控制策略，以降低生产出质量不佳产品风险。可下载。购买前请查看  下载说明  和 使用条款 。格式：PDF（1个文件，3.45 MB）点击……,This TR focuses on the development of a risk-based control strategy adapted to cell-based therapy that can mitigate the risk of generating a product of poor quality. Available to download. Prior to purchase please view the  download instructions  and Terms of Usage.  Format: PDF (1 file 3.45 MB) Click …
Aug 2018,TR第80号（TR 80）制药实验室数据完整性管理系统,https://pda.org/images/default-source/product-images/4542-tr-80-data-integrity-management.jpeg,2018-08-01,https://www.pda.org/bookstore/product-detail/4542-tr-80-data-integrity-management,TR No. 80 (TR 80) Data Integrity Management System for Pharmaceutical Laboratories,Technical Reports,本技术报告由全球制药行业和监管机构的专家共同制定，提供了建立强大数据完整性管理体系所需的框架和工具，以确保……中纸质、混合式及计算机化系统的数据完整性。,"This Technical Report, developed by subject matter experts from the global pharmaceutical industry and regulatory agencies, provides the framework and tools necessary to establish a robust data integrity management system to ensure data integrity for paper, hybrid, and computerized systems within the …"
Apr 2018,制药生产中的微生物学，第二版，修订与扩充版，第2卷,https://pda.org/images/default-source/product-images/4455-microbiology-in-pharm-mfg-volume-2.gif.gif?sfvrsn=ef914f07_716,2018-04-01,https://www.pda.org/bookstore/product-detail/4455-microbiology-in-pharm-mfg-volume-2,"Microbiology in Pharmaceutical Manufacturing, Second Edition, Revised and Expanded, Volume 2",Books,清仓大甩卖，八折优惠！原价：PDA会员235美元，非会员289美元；政府客户售价155美元，均已标出，结账时将自动体现。2001年出版的《制药生产中的微生物学》第一版，是PDA/DHI有史以来最畅销的书籍……,"Clearance Sale - 20% off! Original Price US$235 PDA Member, US$289 Nonmember, US$155 Government Sale prices are already displayed and will be reflected during checkoutThe first edition of Microbiology in Pharmaceutical Manufacturing, published   in 2001, is THE best selling PDA/DHI book of all time. …"
,制药生产中的微生物学，第二版，修订与扩充版，第一卷,https://pda.org/images/default-source/product-images/4454-microbiology-in-pharm-mfg-volume-1.gif.gif?sfvrsn=ea428c12_716,,https://www.pda.org/bookstore/product-detail/4454-microbiology-in-pharm-mfg-volume-1,"Microbiology in Pharmaceutical Manufacturing, Second Edition, Revised and Expanded, Volume 1",Books,清仓大甩卖，八折优惠！原价：PDA会员235美元，非会员289美元；政府客户售价155美元，均已标出，结账时将自动体现。2001年出版的《制药生产中的微生物学》第一版，是PDA/DHI有史以来最畅销的书籍……,"Clearance Sale - 20% off! Original Price US$235 PDA Member, US$289 Nonmember, US$155 Government Sale prices are already displayed and will be reflected during checkoutThe first edition of Microbiology in Pharmaceutical Manufacturing, published   in 2001, is THE best selling PDA/DHI book of all time. …"
Apr 2018,PDA研究：2017年PDA玻璃质量调查,https://pda.org/images/default-source/product-images/4436-2017-pda-glass-quality-survey.jpeg,2018-04-01,https://www.pda.org/bookstore/product-detail/4436-2017-pda-glass-quality-survey,PDA Research: 2017 PDA Glass Quality Survey,Surveys,2017年PDA玻璃质量调查旨在帮助识别玻璃容器的质量问题，并制定解决方案以克服这些问题。调查主题包括玻璃取样与检验实践、因玻璃缺陷导致的产品投诉与召回，以及质量……,"The 2017 PDA Glass Quality Survey is designed to assist in the identification of glass container quality concerns and development of solutions to overcoming them. Survey topics include glass sampling and inspection practices, product complaints and recalls due to glass defects, and quality …"
Mar 2018,TR第79号（TR 79）难于检查的无菌制剂中的微粒物控制,https://pda.org/images/default-source/product-images/4246-tr-79-particulate-matter-inspect-parenterals.jpeg,2018-03-01,https://www.pda.org/bookstore/product-detail/4246-tr-79-particulate-matter-inspect-parenterals,TR No. 79 (TR 79) Particulate Matter Control in Difficult to Inspect Parenterals,Technical Reports,**八月书店促销！五折优惠！标价已包含常规价格的折扣。**PDA技术报告第79号，《难检无菌制剂中的微粒控制》详细介绍了难检无菌制剂（DIP）产品生命周期管理、破坏性测试等方面的最佳实践，以及……,"**August Bookstore Sale! 50% off!Price shown  reflects discount from regular  price.**PDA Technical Report No. 79, Particulate Matter Control in Difficult to  Inspect Parenterals describes best practices for difficult to inspect parenteral (DIP) product lifecycle management, destructive testing, and …"
Mar 2018,PDA技术丛书：药用玻璃,https://pda.org/images/default-source/product-images/4244-pda-technical-series-pharmaceutical-glass.jpeg,2018-03-01,https://www.pda.org/bookstore/product-detail/4244-pda-technical-series-pharmaceutical-glass,PDA Technical Series: Pharmaceutical Glass,Books,PDA技术系列：药用玻璃是此前发表在《PDA药物科学与技术杂志》上的一系列文章的合集。本次汇编将2007年至2017年间发表的19篇有关玻璃的文章，按四个类别进行整理：概述、材料……,"The PDA Technical Series: Pharmaceutical Glass is a collection of articles previously published in  the PDA Journal of Pharmaceutical Science and Technology                . This compilation organizes 19 articles on glass published between 2007 and 2017 into four categories: Overview, Material …"
Feb 2018,生物工艺的阶段性GMP：从临床前到商业化生产,https://pda.org/images/default-source/product-images/4211-phase-appropriate-gmp.jpeg,2018-02-01,https://www.pda.org/bookstore/product-detail/4211-phase-appropriate-gmp,Phase Appropriate GMP for Biological Processes: Pre-clinical to Commercial Production,Books,本书提供了关于如何开发生物药物产品，同时在开发过程的每个阶段符合监管期望的简洁实用指南！在本书中，你可以找到以下章节：当前再生医学产品的生产和工艺开发……,"This book provides succinct and practical guidance on how to develop a biological drug product and, at the same time, stay within the regulatory expectations at each phase of the development process!Within this book, you can find chapters on:Current manufacturing and process development of Regenerative …"
Jan 2018,PDA研究：2017年PDA PUPSIT调查,https://pda.org/images/default-source/product-images/4129-2017-pda-pupsit-survey.jpeg,2018-01-01,https://www.pda.org/bookstore/product-detail/4129-2017-pda-pupsit-survey,PDA Research: 2017 PDA PUPSIT Survey,Surveys,2017年3月，PDA开展了一项基准调查，以更好地了解当前大型制药公司在无菌过滤以及使用前灭菌后完整性测试（PUPSIT）实施方面的现状。由于……对附件1第113节的执行力度加大，,"In March of 2017, PDA conducted a benchmarking survey to better understand the current situation regarding sterile filtration and the implementation of Pre-Use Post Sterilization Integrity Test, or PUPSIT, among large pharmaceutical companies. Due to increased enforcement of section 113 of Annex 1 by …"
Jan 2018,非无菌药品生产的污染预防,https://pda.org/images/default-source/product-images/4117-contamination-prevention-for-nonsterile.jpeg,2018-01-01,https://www.pda.org/bookstore/product-detail/4117-contamination-prevention-for-nonsterile,Contamination Prevention for Nonsterile Pharmaceutical Manufacturing,Books,非无菌药品生产污染防控手册为生产企业提供了最佳实践指南。它详细说明了非无菌生产中最常见的微生物风险所在，以及如何在……中防止污染。,The handbook on Contamination Prevention for Nonsterile Pharmaceutical Manufacturing offers guide-lines for best practices to be deployed within a manufacturing facility. It explains where the most common microbiological risks to nonsterile manufacturing reside and how to prevent contamination in the …
Jan 2018,TR第78号（TR 78） 口服制剂中的颗粒物,https://pda.org/images/default-source/product-images/4114-tr-78-particulate-matter-in-oral-dosage-forms.jpeg,2018-01-01,https://www.pda.org/bookstore/product-detail/4114-tr-78-particulate-matter-in-oral-dosage-forms,TR No. 78 (TR 78) Particulate Matter in Oral Dosage Forms,Technical Reports,PDA技术报告第78号《口服剂型中的微粒物质》记录了药品、原料药、辅料以及包装/初级容器生产商目前用于控制、检查、取样和检测内在及外在微粒物质的做法……,"PDA Technical Report No. 78, Particulate Matter in Oral Dosage Forms documents the current practices used by manufacturers of drug products, active pharmaceutical ingredients, excipients, and packaging/primary containers to control, inspect, sample, and test intrinsic and extrinsic particulate matter …"
Dec 2017,PDA研究：2017年PDA无菌工艺调查,https://pda.org/images/default-source/product-images/4102-2017-pda-aseptic-processing-survey.jpeg,2017-12-01,https://www.pda.org/bookstore/product-detail/4102-2017-pda-aseptic-processing-survey,PDA Research: 2017 PDA Aseptic Processing Survey,Surveys,2017年PDA无菌工艺调查探讨了全球二级制造（成品灌装/包装）的无菌工艺实践，同时考虑了现代、全球化、无菌医疗保健产品制造行业的发展变化与需求。调查结果基于304份……,"The 2017 PDA Aseptic Processing Survey explores aseptic processing practices for global secondary manufacturing (finished product filling/packaging), while taking into consideration the changes and needs of the modern, global, sterile, healthcare product manufacturing industry. Results are based on 304 …"
Nov 2017,微生物培养基：制药与医疗保健制造商的完整指南,https://pda.org/images/default-source/product-images/4037-microbiological-culture-media.jpeg,2017-11-01,https://www.pda.org/bookstore/product-detail/4037-microbiological-culture-media,Microbiological Culture Media: A Complete Guide for Pharmaceutical and Healthcare Manufacturers,Books,考虑到90%的质量控制微生物学仍依赖于基于培养的方法，本书独特地聚焦于应用于制药微生物学的微生物培养基。同时，本书也注意到，随着新型培养基配方的不断涌现，相关创新仍在持续发生……,"Taking into account that 90 percent of quality control microbiology remains reliant upon culture based methods, this unique text focuses on microbiological culture media as applied to pharmaceutical microbiology. This book takes into consideration that innovations continue to arise with new media recipes …"
Oct 2017,质量文化指标试点报告,https://pda.org/images/default-source/product-images/3971-quality-culture-metrics-pilot-report-single-user.jpeg,2017-10-01,https://www.pda.org/bookstore/product-detail/3971-quality-culture-metrics-pilot-report-single-user,Quality Culture Metrics Pilot Report,Surveys,PDA的质量文化指标试点报告总结了来自亚洲、欧洲和北美洲43个参与生产企业的成果。基准数据包括使用PDA质量文化成熟度模型与工具进行的现场评估结果，并按地区、产品类型和业务进行了分析……,"PDA's Quality Culture Metrics Pilot Report summarizes the  results of 43 participating manufacturing sites in Asia, Europe and North  America. Benchmarking data includes site assessment results using the PDA  Quality Culture Maturity Model and Tool and is analyzed by geography, product  type and business …"
Oct 2017,托尔贝克的科学家与工程师统计手册,https://pda.org/images/default-source/product-images/3913-torbecks-statistical-cookbook.jpeg,2017-10-01,https://www.pda.org/bookstore/product-detail/3913-torbecks-statistical-cookbook,Torbeck`s Statistical Cookbook for Scientists and Engineers,Books,在《科学家与工程师统计手册》中，您将找到经过实践检验、切实可行的实用统计“配方”，这些配方提供了一系列专门且独特的统计模块，可用于工业研究的评估。这些模块专为忙碌的工业工作者设计，他们需要应用……,"In the Statistical Cookbook for Scientists and Engineers, you will find tried and true, practical statistical ""recipes"" that provide a book of specific and unique statistical modules useful for evaluation of industrial studies. These modules are designed for the busy industrial worker, who needs to apply …"
Aug 2017,环境监测：综合手册，第8卷,https://pda.org/images/default-source/product-images/3877-environmental-monitoring-volume-8.jpeg,2017-08-01,https://www.pda.org/bookstore/product-detail/3877-environmental-monitoring-volume-8,"Environmental Monitoring: A Comprehensive Handbook, Volume 8",Books,环境监测手册系列第8卷汇集了新主题以及对先前讨论主题的全新解读。在本卷中，您将了解到有关法规和药典的最新动态、检测方法、风险评估方法与工具，以及常规（和非常规）监测的信息！ 	本卷……,"Volume 8 of the Environmental Monitoring Handbook series is a mixture of new topics and new takes on previously discussed topics. In this volume, you will find information about regulatory/compendial updates, testing methods, risk methods and tools, and routine (and non-routine) monitoring! 	This volume …"
Jul 2017,老旧设施需考虑的要点,https://pda.org/images/default-source/product-images/3853-points-to-consider-for-aging-facilities.jpeg,2017-07-01,https://www.pda.org/bookstore/product-detail/3853-points-to-consider-for-aging-facilities,Points to Consider for Aging Facilities,Technical Reports,PDA发布的《老旧设施需考虑的要点》一文，综合考量了制药行业对如何识别和现代化改造老旧设施的普遍看法与建议。本文回顾了：如何识别设施已步入老化阶段；阻碍现代化改造的因素……,PDA's Points to Consider for Aging Facilities takes into account the industry's general thoughts and suggestions of the pharmaceutical manufacturing industry on how to identify and modernize aging facilities. This document reviews:How to recognize that a facility is aging Impediments to modernization …
Jul 2017,无菌与灭菌工艺：控制、合规性及未来趋势,https://pda.org/images/default-source/product-images/3851-aseptic-and-sterile-processing.jpeg,2017-07-01,https://www.pda.org/bookstore/product-detail/3851-aseptic-and-sterile-processing,"Aseptic and Sterile Processing: Control, Compliance and Future Trends",Books,这是过去十年中发表的最重要的一篇探讨无菌和灭菌生产的文本，它既着眼于当前，也展望了这两种关键加工工艺的未来。编辑们意识到，有必要对相关主题进行重新评估……,Here is the most important text discussing aseptic and sterile manufacturing to be published in the last decade that looks at both today and tomorrow in regard to these two vital processing procedures.The Editors realized that there was an urgent imperative for the relevant subjects to be reassessed …
May 2017,TR编号54-5（TR 54-5）——制造系统的设计、确认与运行的质量风险管理,https://pda.org/images/default-source/product-images/3756-tr-54-5-quality-risk-management.jpeg,2017-05-01,https://www.pda.org/bookstore/product-detail/3756-tr-54-5-quality-risk-management,"TR No. 54-5 (TR 54-5) Quality Risk Management for the Design, Qualification, and Operation of Manufacturing Systems",Technical Reports,PDA 的技术报告第 54-5 号《制造系统的设计、确认与运行的质量风险管理》，提供了如何在整个制造系统生命周期内管理质量风险的实用指南，并通过两个案例研究阐明了相关概念。这些信息……,"PDA's Technical Report No. 54-5, Quality Risk Management for the Design, Qualification, and Operation of Manufacturing Systems provides practical guidance on how to manage quality  risks throughout the manufacturing system lifecycle and illustrates concepts  through two case studies. The information …"
May 2017,清洁验证：制药生产的实用合规解决方案，第3卷,https://pda.org/images/default-source/product-images/3746-cleaning-validation-volume-3.jpeg,2017-05-01,https://www.pda.org/bookstore/product-detail/3746-cleaning-validation-volume-3,"Cleaning Validation: Practical Compliance Solutions for Pharmaceutical Manufacturing, Volume 3",Books,促销——八折优惠！原价：PDA会员265美元，非会员329美元，政府客户180美元。销售价格已显示，并将在结账时体现。在德斯汀·勒布兰的《清洁验证：制药生产的实用合规解决方案》第三卷中，制药生产商和……,"Sale - 20% off! Original Price US$265 PDA Member, US$329 Nonmember, US$180 Government Sale prices are already displayed and will be reflected during checkoutIn Destin LeBlanc's Cleaning Validation: Practical Compliance Solutions for Pharmaceutical Manufacturing, Vol. 3 pharmaceutical manufacturers and …"
May 2017,清洁验证：制药生产的实用合规解决方案，第2卷,https://pda.org/images/default-source/product-images/3745-cleaning-validation-volume-2.jpeg,2017-05-01,https://www.pda.org/bookstore/product-detail/3745-cleaning-validation-volume-2,"Cleaning Validation: Practical Compliance Solutions for Pharmaceutical Manufacturing, Volume 2",Books,促销——八折优惠！原价：PDA会员265美元，非会员329美元，政府客户180美元。销售价格已显示，并将在结账时体现。本书是对《清洁验证：制药生产的实用解决方案》第一卷的补充，包含了修订和更新内容……,"Sale - 20% off! Original Price US$265 PDA Member, US$329 Nonmember, US$180 Government Sale prices are already displayed and will be reflected during checkoutThis book complements Cleaning Validation: Practical Solutions for Pharmaceutical Manufacturing, Volume 1. It contains modifications and updates …"
